dataset,hidden_rate,accuracy,recall,auc,f1
bank,RATIO_0_1,0.9995387005924056,1.0,1.0,0.9979567695451123
bank,RATIO_0_2,0.9993687481790813,1.0,0.9999999999999999,0.9972061035890823
bank,RATIO_0_3,0.9990288433524327,1.0,1.0,0.9957081545064378
bank,RATIO_0_4,0.9998300475866757,1.0,1.0,0.9992462582104017
bank,RATIO_0_5,0.8916917548800621,0.5959051724137931,0.5065612345408778,0.5534981483335002
bank,RATIO_0_6,0.9290084490628339,0.6941810344827586,0.5406967172126971,0.6878069613495622
bank,RATIO_0_7,0.9461250849762066,0.772198275862069,0.6069229577164467,0.7635588705380928
bank,RATIO_0_8,0.962100611828688,0.8362068965517241,0.7084386693408384,0.8325286986374851
bank,RATIO_0_9,0.9805283092162765,0.9262931034482759,0.8366570691872379,0.9146626941902534
census,RATIO_0_1,0.9976044961764073,1.0,1.0,0.9950507614213198
census,RATIO_0_2,0.9986179785633119,1.0,1.0,0.9971386787054111
census,RATIO_0_3,0.997850188876263,1.0,1.0,0.9955561198577958
census,RATIO_0_4,0.8510488007125089,0.695957148322918,0.5027779127761344,0.6923369703121035
census,RATIO_0_5,0.873775375449157,0.7474811886239,0.5295104275138277,0.7403991915108642
census,RATIO_0_6,0.8945978317619238,0.7899502614462441,0.5747602454982089,0.7830594184576486
census,RATIO_0_7,0.9199656030220202,0.8453003443438337,0.6463203231375694,0.8357079813390493
census,RATIO_0_8,0.9424771966462947,0.8901925774773626,0.7408995595717309,0.8817027726899515
census,RATIO_0_9,0.9671386013943061,0.9457977298813927,0.8555546337833371,0.932712866306125
credit,RATIO_0_1,0.9988333333333334,1.0,1.0,0.997369805365597
credit,RATIO_0_2,0.9997666666666667,1.0,1.0,0.9994728518713759
credit,RATIO_0_3,0.9921,1.0,1.0,0.9824561403508771
credit,RATIO_0_4,0.8569333333333333,0.7025316455696202,0.4992499653516603,0.6847826086956522
credit,RATIO_0_5,0.8634666666666667,0.720614828209765,0.5257460125514192,0.7001464128843338
credit,RATIO_0_6,0.8856,0.7804400241109102,0.5680556955162726,0.7511240029006526
credit,RATIO_0_7,0.9089,0.8333333333333334,0.6478895142875511,0.8018560139201045
credit,RATIO_0_8,0.9303333333333333,0.890295358649789,0.739526233230642,0.8497051632388898
credit,RATIO_0_9,0.9505333333333333,0.9431886678722122,0.8536773265908645,0.8940151406941865
